feature,mean_abs_shap,weights
acceleration-mean,0.4048,0.120458265
sleep-deep,0.3349,0.099657789
sleep-snoring,0.3104,0.092367207
sleep-duration-to-sleep,0.2478,0.073739027
sleep-light,0.2245,0.066805535
sleep-heartrate-max,0.196,0.058324654
motion-mean,0.1533,0.045618212
motion-count,0.1489,0.044308883
sleep-heartrate-min,0.1425,0.042404404
heartrate-mean,0.1416,0.042136587
motion-max-timestamp,0.1243,0.036988543
heartrate-std,0.1029,0.030620443
acceleration-std,0.0991,0.029489659
sleep-total,0.0957,0.028477905
heartrate-max,0.0941,0.028001785
sleep-rem,0.0926,0.027555423
step-max-timestamp,0.0783,0.023300104
acceleration-skew,0.0745,0.02216932
step-ratio,0.0638,0.01898527
acceleration-entropy,0.0637,0.018955513
motion-max,0.0579,0.017229579
acceleration-kurtosis,0.0574,0.017080792
sleep-wakeup-count,0.0346,0.010296087
position-distance-travelled,0.0169,0.005029014
,3.3605,
